iter	Passed	Remaining
0	0	95
1	2	103
2	3	100
3	3	91
4	4	90
5	5	89
6	6	89
7	7	88
8	8	88
9	9	87
10	10	86
11	11	85
12	12	84
13	13	83
14	14	81
15	15	80
16	16	78
17	17	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	71
25	24	69
26	25	68
27	26	67
28	27	66
29	28	66
30	29	65
31	30	64
32	31	63
33	31	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	64	27
70	65	26
71	66	26
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
